TurkerID,number of permissions requested for microphone,number of permissions requested for location,number of permissions requested for camera,number of permissions requested for contacts,number of permissions requested for phone,number of permissions requested for storage,number of permissions requested for calendar,number of permissions requested sensor,number of permissions requested sms,number of permissions granted for microphone,number of permissions granted for location,number of permissions granted for camera,number of permissions granted for contacts,number of permissions granted for phone,number of permissions granted for storage,number of permissions granted for calendar,number of permissions granted sensor,number of permissions granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A22IIMLQ7K4B3M,36,66,46,73,60,101,15,2,29,12,36,19,32,30,52,3,0,16,1,1,1,1,1,1,1,1,1
AXAY0M3ATGPAR,21,29,25,38,30,41,11,0,18,5,10,5,9,9,12,3,0,6,4,4,1,4,4,4,4,4,5
AOL04T29G35P4,12,23,15,20,24,43,4,0,9,8,15,5,9,14,23,3,0,4,3,4,4,5,5,3,2,3,5
AVSLRTQLC2XK4,34,53,44,58,54,76,12,1,25,11,23,13,16,14,30,5,0,10,4,5,5,3,4,5,5,3,4
A2I3FCE7LMITQS,16,31,24,35,27,49,12,0,16,12,26,21,31,21,34,8,0,12,4,2,3,4,4,4,2,2,3
A3S2R1NK6HZ9KP,22,35,30,47,34,59,10,0,17,6,18,9,14,11,34,3,0,7,3,5,5,3,4,5,2,4,5
A28H539AZAIDDV,42,94,65,84,76,127,18,2,43,20,50,30,38,33,71,10,1,20,4,5,4,5,3,5,2,3,4
A2SFD01V5SDFTA,28,58,47,53,34,79,11,2,18,7,21,14,12,15,36,4,0,6,4,4,3,4,4,4,3,3,4
A3A98RH6TI83T8,24,32,33,43,37,60,11,0,21,15,21,20,19,22,41,8,0,13,3,4,3,3,5,4,4,3,3
ALH1K6ZAQQMN7,25,33,26,39,38,52,8,1,21,14,27,18,32,30,44,7,1,18,3,4,5,3,4,4,1,3,4
A1N8TKTLXV92QR,11,23,16,33,20,42,7,1,16,8,17,11,25,16,31,6,1,14,4,4,3,5,4,4,3,4,4
A28C4YC9WPNYG2,33,47,37,54,52,67,10,1,30,22,34,30,44,40,59,8,1,22,5,4,4,4,3,2,2,4,5
A3KW8RIWBQ1O7F,16,28,15,33,31,57,8,0,12,8,16,7,13,21,40,5,0,9,4,4,2,4,4,4,1,1,4
A2CYF2YSAXGB3G,25,39,28,40,39,58,12,1,23,7,15,9,14,14,28,4,0,10,1,1,5,5,5,5,5,5,5
AJXGDCVHN4V6D,16,45,37,44,33,62,8,0,11,8,27,19,18,17,34,5,0,8,4,4,4,4,4,3,4,4,5
A23LLMPC8OX3DD,30,41,33,44,48,67,12,2,26,20,33,24,39,40,62,11,1,20,3,5,3,3,3,3,3,3,3
A27LCUA35LPVM8,31,62,42,64,50,87,11,2,29,8,19,8,20,14,27,2,0,12,4,3,3,3,3,4,2,3,3
